libID	QC_pass	primary	secondary	supplementary	duplicate	primary_duplicate	mapped	primary_mapped	paired	read1	read2	paired_proper	paired_mapped	singleton	paired_diff_chr	paired_diff_chr5
AR10	33343140	33343140	0	0	0	0	33343140	33343140	33343140	16671570	16671570	33343140	33343140	0	0	0
AR29	47270746	47270746	0	0	0	0	47270746	47270746	47270746	23635373	23635373	47270746	47270746	0	0	0
AR26	48944944	48944944	0	0	0	0	48944944	48944944	48944944	24472472	24472472	48944944	48944944	0	0	0
AR60	47185420	47185420	0	0	0	0	47185420	47185420	47185420	23592710	23592710	47185420	47185420	0	0	0
AR134	79469066	79469066	0	0	0	0	79469066	79469066	79469066	39734533	39734533	79469066	79469066	0	0	0
AR40	42747274	42747274	0	0	0	0	42747274	42747274	42747274	21373637	21373637	42747274	42747274	0	0	0
AR137	74803284	74803284	0	0	0	0	74803284	74803284	74803284	37401642	37401642	74803284	74803284	0	0	0
AR21	43258004	43258004	0	0	0	0	43258004	43258004	43258004	21629002	21629002	43258004	43258004	0	0	0
IL28	40549454	40549454	0	0	0	0	40549454	40549454	40549454	20274727	20274727	40549454	40549454	0	0	0
AR20	45637994	45637994	0	0	0	0	45637994	45637994	45637994	22818997	22818997	45637994	45637994	0	0	0
IL21	42326224	42326224	0	0	0	0	42326224	42326224	42326224	21163112	21163112	42326224	42326224	0	0	0
AR132	36027850	36027850	0	0	0	0	36027850	36027850	36027850	18013925	18013925	36027850	36027850	0	0	0
AR27	41834252	41834252	0	0	0	0	41834252	41834252	41834252	20917126	20917126	41834252	41834252	0	0	0
AR158	40210476	40210476	0	0	0	0	40210476	40210476	40210476	20105238	20105238	40210476	40210476	0	0	0
AR28	42856586	42856586	0	0	0	0	42856586	42856586	42856586	21428293	21428293	42856586	42856586	0	0	0
IL24	44347520	44347520	0	0	0	0	44347520	44347520	44347520	22173760	22173760	44347520	44347520	0	0	0
AR18	41099506	41099506	0	0	0	0	41099506	41099506	41099506	20549753	20549753	41099506	41099506	0	0	0
AR53	40449604	40449604	0	0	0	0	40449604	40449604	40449604	20224802	20224802	40449604	40449604	0	0	0
AR7	53098370	53098370	0	0	0	0	53098370	53098370	53098370	26549185	26549185	53098370	53098370	0	0	0
AR25	37272006	37272006	0	0	0	0	37272006	37272006	37272006	18636003	18636003	37272006	37272006	0	0	0
AR14	39471600	39471600	0	0	0	0	39471600	39471600	39471600	19735800	19735800	39471600	39471600	0	0	0
AR23	38381694	38381694	0	0	0	0	38381694	38381694	38381694	19190847	19190847	38381694	38381694	0	0	0
AR157	41584232	41584232	0	0	0	0	41584232	41584232	41584232	20792116	20792116	41584232	41584232	0	0	0
AR135	43181484	43181484	0	0	0	0	43181484	43181484	43181484	21590742	21590742	43181484	43181484	0	0	0
AR6	47658468	47658468	0	0	0	0	47658468	47658468	47658468	23829234	23829234	47658468	47658468	0	0	0
AR15	39131128	39131128	0	0	0	0	39131128	39131128	39131128	19565564	19565564	39131128	39131128	0	0	0
AR8	54535080	54535080	0	0	0	0	54535080	54535080	54535080	27267540	27267540	54535080	54535080	0	0	0
AR5	40872032	40872032	0	0	0	0	40872032	40872032	40872032	20436016	20436016	40872032	40872032	0	0	0
AR9	35045596	35045596	0	0	0	0	35045596	35045596	35045596	17522798	17522798	35045596	35045596	0	0	0
AR59	48336936	48336936	0	0	0	0	48336936	48336936	48336936	24168468	24168468	48336936	48336936	0	0	0
AR136	42780490	42780490	0	0	0	0	42780490	42780490	42780490	21390245	21390245	42780490	42780490	0	0	0
IL27	42199808	42199808	0	0	0	0	42199808	42199808	42199808	21099904	21099904	42199808	42199808	0	0	0
IL25	47694246	47694246	0	0	0	0	47694246	47694246	47694246	23847123	23847123	47694246	47694246	0	0	0
AR30	43231618	43231618	0	0	0	0	43231618	43231618	43231618	21615809	21615809	43231618	43231618	0	0	0
AR152	39740710	39740710	0	0	0	0	39740710	39740710	39740710	19870355	19870355	39740710	39740710	0	0	0
AR2	52125346	52125346	0	0	0	0	52125346	52125346	52125346	26062673	26062673	52125346	52125346	0	0	0
AR1	41205420	41205420	0	0	0	0	41205420	41205420	41205420	20602710	20602710	41205420	41205420	0	0	0
AR19	40135984	40135984	0	0	0	0	40135984	40135984	40135984	20067992	20067992	40135984	40135984	0	0	0
AR22	44193348	44193348	0	0	0	0	44193348	44193348	44193348	22096674	22096674	44193348	44193348	0	0	0
AR12	37656578	37656578	0	0	0	0	37656578	37656578	37656578	18828289	18828289	37656578	37656578	0	0	0
IL26	80879350	80879350	0	0	0	0	80879350	80879350	80879350	40439675	40439675	80879350	80879350	0	0	0
AR54	58843944	58843944	0	0	0	0	58843944	58843944	58843944	29421972	29421972	58843944	58843944	0	0	0
AR153	39281356	39281356	0	0	0	0	39281356	39281356	39281356	19640678	19640678	39281356	39281356	0	0	0
IL23	50548138	50548138	0	0	0	0	50548138	50548138	50548138	25274069	25274069	50548138	50548138	0	0	0
AR33	40565570	40565570	0	0	0	0	40565570	40565570	40565570	20282785	20282785	40565570	40565570	0	0	0
AR13	38442478	38442478	0	0	0	0	38442478	38442478	38442478	19221239	19221239	38442478	38442478	0	0	0
AR34	40378412	40378412	0	0	0	0	40378412	40378412	40378412	20189206	20189206	40378412	40378412	0	0	0
AR24	37228750	37228750	0	0	0	0	37228750	37228750	37228750	18614375	18614375	37228750	37228750	0	0	0
AR17	39854188	39854188	0	0	0	0	39854188	39854188	39854188	19927094	19927094	39854188	39854188	0	0	0
AR156	79408690	79408690	0	0	0	0	79408690	79408690	79408690	39704345	39704345	79408690	79408690	0	0	0
AR11	33404960	33404960	0	0	0	0	33404960	33404960	33404960	16702480	16702480	33404960	33404960	0	0	0
AR3	40700262	40700262	0	0	0	0	40700262	40700262	40700262	20350131	20350131	40700262	40700262	0	0	0
AR138	44313550	44313550	0	0	0	0	44313550	44313550	44313550	22156775	22156775	44313550	44313550	0	0	0
AR133	39198440	39198440	0	0	0	0	39198440	39198440	39198440	19599220	19599220	39198440	39198440	0	0	0
IL22	37155296	37155296	0	0	0	0	37155296	37155296	37155296	18577648	18577648	37155296	37155296	0	0	0
AR131	40693824	40693824	0	0	0	0	40693824	40693824	40693824	20346912	20346912	40693824	40693824	0	0	0
AR39	56288658	56288658	0	0	0	0	56288658	56288658	56288658	28144329	28144329	56288658	56288658	0	0	0
AR16	44003502	44003502	0	0	0	0	44003502	44003502	44003502	22001751	22001751	44003502	44003502	0	0	0
AR154	37392194	37392194	0	0	0	0	37392194	37392194	37392194	18696097	18696097	37392194	37392194	0	0	0
AR4	42181376	42181376	0	0	0	0	42181376	42181376	42181376	21090688	21090688	42181376	42181376	0	0	0
