libID	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
AR153	5290238438	5263647629		2847775299.0	1511530700.0	498618206.0	405723424.0	0.0	0.0	0.0	7700655.0	7784542.0	74689.0	0.497291	0.502709		0.541027	0.287164	0.094729	0.07708	0.828191	0.824028	0.0	0.505244	0.147555	0.170199	0.729547			
AR22	5954380606	5924511557		3290713574.0	1538879090.0	656351979.0	438566914.0	0.0	0.0	0.0	8633303.0	8516970.0	98448.0	0.503392	0.496608		0.55544	0.259748	0.110786	0.074026	0.815188	0.811099	0.0	0.46635	0.201455	0.118628	1.518488			
AR54	7922573008	7877245590		4804121048.0	2128971759.0	497907684.0	446245099.0	0.0	0.0	0.0	12315732.0	12299799.0	117077.0	0.500324	0.499676		0.609873	0.270269	0.063208	0.05665	0.880142	0.875106	0.0	0.493216	0.194347	0.135414	1.267209			
AR17	5369682785	5343922903		3000451395.0	1404836042.0	563674181.0	374961285.0	0.0	0.0	0.0	7855911.0	7754779.0	80314.0	0.503239	0.496761		0.56147	0.262885	0.105479	0.070166	0.824355	0.8204	0.0	0.461974	0.19583	0.113182	1.661754			
AR4	5682799785	5654724005		3250228491.0	1325074863.0	687712498.0	391708153.0	0.0	0.0	0.0	8163764.0	8081515.0	91723.0	0.502531	0.497469		0.574781	0.234331	0.121617	0.069271	0.809112	0.805114	0.0	0.472888	0.190405	0.115084	1.511386			
AR157	5600176472	5570919868		3088299779.0	1622464772.0	482729474.0	377425843.0	0.0	0.0	0.0	8423379.0	8286012.0	94828.0	0.50411	0.49589		0.554361	0.291238	0.086652	0.067749	0.845599	0.841181	0.0	0.451938	0.219001	0.23495	0.821415			
AR132	4851123238	4824118694		2612177372.0	1325247819.0	566763216.0	319930287.0	0.0	0.0	0.0	7039756.0	6989933.0	79301.0	0.501776	0.498224		0.541483	0.274713	0.117485	0.066319	0.816196	0.811652	0.0	0.417388	0.209677	0.266349	0.791921			
AR34	5435772015	5403965235		2808391379.0	1491034238.0	715703812.0	388835806.0	0.0	0.0	0.0	7663498.0	7750224.0	75595.0	0.497187	0.502813		0.519691	0.275915	0.13244	0.071954	0.795606	0.79095	0.0	0.499585	0.122028	0.148045	0.742617			
AR25	5021451846	4996393248		2719411026.0	1306365824.0	564208468.0	406407930.0	0.0	0.0	0.0	7191220.0	7113864.0	78291.0	0.502704	0.497296		0.544275	0.261462	0.112923	0.08134	0.805737	0.801716	0.0	0.506792	0.155857	0.095534	1.561131			
AR14	5317580396	5289733632		2967708472.0	1422599231.0	519929219.0	379496710.0	0.0	0.0	0.0	7816533.0	7725353.0	72393.0	0.502933	0.497067		0.561032	0.268936	0.09829	0.071742	0.829968	0.825621	0.0	0.506484	0.1494	0.103953	1.380427			
AR23	5169837031	5143089487		2870120562.0	1333496255.0	552372021.0	387100649.0	0.0	0.0	0.0	7482802.0	7443155.0	80325.0	0.501328	0.498672		0.558054	0.259279	0.107401	0.075266	0.817333	0.813104	0.0	0.546553	0.150326	0.083456	1.332799			
AR152	5351558229	5323964289		2862329840.0	1642207868.0	443554611.0	375871970.0	0.0	0.0	0.0	7985184.0	8008378.0	78601.0	0.499275	0.500725		0.537631	0.308456	0.083313	0.0706	0.846087	0.841725	0.0	0.519067	0.131578	0.196285	0.528758			
AR21	5828370332	5798236513		3243568414.0	1502724941.0	615975020.0	435968138.0	0.0	0.0	0.0	8477293.0	8356542.0	93190.0	0.503587	0.496413		0.559406	0.259169	0.106235	0.07519	0.818575	0.814343	0.0	0.469132	0.190867	0.112506	1.646159			
AR24	5015130744	4989707048		2851343073.0	1271054928.0	486913210.0	380395837.0	0.0	0.0	0.0	7352280.0	7262416.0	81380.0	0.503074	0.496926		0.571445	0.254735	0.097584	0.076236	0.82618	0.821992	0.0	0.505644	0.183748	0.098516	1.72146			
IL22	5003754811	4976588065		2933164860.0	1257133943.0	432731657.0	353557605.0	0.0	0.0	0.0	7460598.0	7460273.0	79122.0	0.500011	0.499989		0.589393	0.25261	0.086953	0.071044	0.842002	0.837431	0.0	0.455157	0.23804	0.186622	1.170127			
IL21	5699451190	5668686964		3363912884.0	1380972860.0	533910408.0	389890812.0	0.0	0.0	0.0	8448617.0	8469059.0	95094.0	0.499396	0.500604		0.59342	0.243614	0.094186	0.06878	0.837034	0.832516	0.0	0.471021	0.226217	0.156619	1.25			
AR8	7346059913	7308419692		4132136543.0	1685221339.0	954747113.0	536314697.0	0.0	0.0	0.0	10371884.0	10285406.0	112546.0	0.502093	0.497907		0.565394	0.230586	0.130637	0.073383	0.79598	0.791902	0.0	0.474126	0.188383	0.122653	1.377886			
AR18	5535880798	5503640868		3116533326.0	1420365455.0	585072688.0	381669399.0	0.0	0.0	0.0	8092056.0	8007894.0	85753.0	0.502614	0.497386		0.566268	0.258077	0.106306	0.069349	0.824345	0.819544	0.0	0.453289	0.188151	0.118211	1.460902			
AR39	7580648306	7544357401		3836494696.0	2257275115.0	851309127.0	599278463.0	0.0	0.0	0.0	10791511.0	10895538.0	103564.0	0.497602	0.502398		0.508525	0.2992	0.112841	0.079434	0.807725	0.803859	0.0	0.602449	0.08673	0.131892	0.539836			
AR6	6419333963	6382396979		3731974286.0	1526426496.0	699286501.0	424709696.0	0.0	0.0	0.0	9362555.0	9265732.0	106195.0	0.502599	0.497401		0.584729	0.239162	0.109565	0.066544	0.823891	0.819151	0.0	0.448273	0.206089	0.140832	1.387955			
AR156	10693029662	10635232334		6294970598.0	2963713467.0	732991021.0	643557248.0	0.0	0.0	0.0	16539810.0	16331287.0	161359.0	0.503172	0.496828		0.591898	0.278669	0.068921	0.060512	0.870567	0.865862	0.0	0.471039	0.208896	0.159955	1.249736			
AR30	5824019500	5793821661		3102276123.0	1496578921.0	727810574.0	467156043.0	0.0	0.0	0.0	8195157.0	8151451.0	98534.0	0.501337	0.498663		0.535446	0.258306	0.125618	0.08063	0.793752	0.789636	0.0	0.465125	0.174736	0.105805	1.543423			
AR134	10705167392	10653352504		5727361419.0	2859874854.0	1278761413.0	787354818.0	0.0	0.0	0.0	15256865.0	15170187.0	164573.0	0.501424	0.498576		0.537611	0.268448	0.120034	0.073907	0.80606	0.802158	0.0	0.439259	0.199648	0.195797	1.039781			
AR16	5928281023	5898318244		3310647145.0	1520327418.0	653365572.0	413978109.0	0.0	0.0	0.0	8623618.0	8537797.0	85556.0	0.5025	0.4975		0.561287	0.257756	0.110772	0.070186	0.819043	0.814903	0.0	0.477005	0.185797	0.101333	1.617944			
IL23	6808584169	6775604132		4079364004.0	1728356505.0	510172840.0	457710783.0	0.0	0.0	0.0	10267212.0	10389924.0	107054.0	0.49703	0.50297		0.602066	0.255085	0.075296	0.067553	0.857152	0.853	0.0	0.463527	0.215085	0.161534	1.331506			
AR154	5035600207	5008371665		2681400022.0	1552193649.0	352906988.0	421871006.0	0.0	0.0	0.0	7510572.0	7413261.0	67557.0	0.50326	0.49674		0.535384	0.30992	0.070463	0.084233	0.845303	0.840733	0.0	0.545936	0.129806	0.20179	0.569038			
IL27	5681161214	5644084872		3348161941.0	1353395297.0	493825544.0	448702090.0	0.0	0.0	0.0	8327017.0	8426647.0	85544.0	0.497027	0.502973		0.593216	0.23979	0.087494	0.0795	0.833006	0.82757	0.0	0.474936	0.19259	0.142274	1.287335			
IL26	10889750299	10821886997		6203229157.0	2630016345.0	1089203172.0	899438323.0	0.0	0.0	0.0	15761614.0	15756744.0	164953.0	0.500077	0.499923		0.573211	0.243028	0.100648	0.083113	0.816239	0.811152	0.0	0.496554	0.172186	0.138134	1.120055			
AR29	6369561438	6340356463		3569977102.0	1572913145.0	726956354.0	470509862.0	0.0	0.0	0.0	9192834.0	9082104.0	107868.0	0.50303	0.49697		0.563056	0.24808	0.114655	0.074209	0.811136	0.807417	0.0	0.472479	0.227167	0.102281	2.109053			
AR33	5462950586	5433719170		2790702008.0	1566403781.0	644693225.0	431920156.0	0.0	0.0	0.0	7756923.0	7788221.0	74077.0	0.498993	0.501007		0.51359	0.288275	0.118647	0.079489	0.801864	0.797574	0.0	0.517917	0.113391	0.155263	0.701305			
AR135	5816073367	5788528255		3127746327.0	1530393581.0	699219707.0	431168640.0	0.0	0.0	0.0	8273281.0	8298227.0	89004.0	0.499247	0.500753		0.540335	0.264384	0.120794	0.074487	0.804719	0.800908	0.0	0.437885	0.184258	0.208378	0.937099			
AR10	4489514297	4462897592		2460286123.0	1090702489.0	592732008.0	319176972.0	0.0	0.0	0.0	6365510.0	6276437.0	73879.0	0.503523	0.496477		0.551276	0.244393	0.132813	0.071518	0.795669	0.790952	0.0	0.465523	0.171653	0.137561	1.198109			
AR40	5756273495	5726250030		3053236570.0	1539805135.0	727249679.0	405958646.0	0.0	0.0	0.0	8165108.0	8237069.0	95584.0	0.497806	0.502194		0.5332	0.268903	0.127003	0.070894	0.802103	0.797919	0.0	0.434099	0.183233	0.168003	1.20214			
AR11	4498502666	4471881674		2387862841.0	1223189368.0	525618765.0	335210700.0	0.0	0.0	0.0	6452184.0	6394295.0	63342.0	0.502253	0.497747		0.533973	0.273529	0.117539	0.07496	0.807502	0.802723	0.0	0.553079	0.120328	0.089245	1.063203			
AR60	6354519249	6321599087		3812197465.0	1718207687.0	435452445.0	355741490.0	0.0	0.0	0.0	9772995.0	9830680.0	108925.0	0.498529	0.501471		0.603043	0.2718	0.068883	0.056274	0.874843	0.870311	0.0	0.466655	0.244213	0.171583	1.372235			
AR138	5968050427	5938187171		3172649326.0	1551548217.0	775848345.0	438141283.0	0.0	0.0	0.0	8399687.0	8471553.0	87249.0	0.49787	0.50213		0.534279	0.261283	0.130654	0.073784	0.795562	0.791581	0.0	0.458063	0.153544	0.168124	0.918135			
AR12	5071437380	5040387834		2690711140.0	1321399311.0	648469459.0	379807924.0	0.0	0.0	0.0	7170031.0	7113649.0	71637.0	0.501974	0.498026		0.53383	0.262162	0.128655	0.075353	0.795992	0.791119	0.0	0.499744	0.141844	0.104732	1.270535			
AR13	5178309576	5150210183		2873484787.0	1355643877.0	552491775.0	368589744.0	0.0	0.0	0.0	7555588.0	7457251.0	76529.0	0.503275	0.496725		0.557935	0.263221	0.107276	0.071568	0.821157	0.816701	0.0	0.478434	0.171362	0.112125	1.386965			
AR133	5278658771	5251031890		2801940070.0	1444987258.0	631468468.0	372636094.0	0.0	0.0	0.0	7572722.0	7569038.0	85199.0	0.500122	0.499878		0.533598	0.275182	0.120256	0.070964	0.80878	0.804547	0.0	0.419431	0.198769	0.245091	0.850813			
AR15	5272970522	5249114242		2935710036.0	1394640436.0	572244995.0	346518775.0	0.0	0.0	0.0	7743479.0	7628703.0	80641.0	0.503733	0.496267		0.559277	0.265691	0.109017	0.066015	0.824968	0.821235	0.0	0.453874	0.20802	0.111634	1.697412			
AR20	6148541731	6113765920		3225995150.0	1626387564.0	808151156.0	453232050.0	0.0	0.0	0.0	8623962.0	8559666.0	92737.0	0.501871	0.498129		0.527661	0.266021	0.132185	0.074133	0.793681	0.789192	0.0	0.445769	0.166843	0.124895	1.319686			
AR28	5773633139	5744298397		3285150486.0	1480342517.0	541326824.0	437478570.0	0.0	0.0	0.0	8468079.0	8389055.0	90173.0	0.502344	0.497656		0.571898	0.257706	0.094237	0.076159	0.829604	0.825389	0.0	0.505825	0.17435	0.090173	1.821277			
AR137	10076456889	10026291443		5429040330.0	2662450381.0	1168721043.0	766079689.0	0.0	0.0	0.0	14385771.0	14402621.0	145507.0	0.499707	0.500293		0.54148	0.265547	0.116566	0.076407	0.807027	0.80301	0.0	0.437728	0.169482	0.200143	0.904169			
AR26	6593754564	6562451540		3682341166.0	1707153186.0	677964592.0	494992596.0	0.0	0.0	0.0	9618468.0	9474198.0	117153.0	0.503778	0.496222		0.561123	0.26014	0.10331	0.075428	0.821262	0.817364	0.0	0.467076	0.245767	0.08991	2.379304			
AR5	5506909982	5482813004		3138813390.0	1306935747.0	680290045.0	356773822.0	0.0	0.0	0.0	7947417.0	7827863.0	89084.0	0.503789	0.496211		0.572482	0.23837	0.124077	0.065071	0.810852	0.807304	0.0	0.46415	0.215611	0.111389	1.75447			
IL28	5460132244	5429368282		3229537604.0	1320831306.0	481247862.0	397751510.0	0.0	0.0	0.0	8095583.0	8136033.0	77070.0	0.498754	0.501246		0.594828	0.243275	0.088638	0.073259	0.838103	0.833381	0.0	0.520413	0.14954	0.1014	1.085331			
AR2	7021987196	6985612154		3948115601.0	1669190977.0	858267708.0	510037868.0	0.0	0.0	0.0	10010753.0	9958932.0	107610.0	0.501297	0.498703		0.565178	0.238947	0.122862	0.073013	0.804125	0.79996	0.0	0.481497	0.173326	0.108501	1.519967			
IL24	5972495483	5941090906		3559290871.0	1467669396.0	461664021.0	452466618.0	0.0	0.0	0.0	8980252.0	8917380.0	88001.0	0.501756	0.498244		0.599097	0.247037	0.077707	0.076159	0.846134	0.841685	0.0	0.492069	0.204507	0.131405	1.458406			
AR19	5407211739	5377089223		2986863523.0	1396442586.0	619237420.0	374545694.0	0.0	0.0	0.0	7830578.0	7736330.0	82351.0	0.503027	0.496973		0.55548	0.259702	0.115162	0.069656	0.815182	0.810641	0.0	0.447538	0.189625	0.11591	1.530226			
AR59	6509166946	6473585070		4002632894.0	1693128380.0	443978045.0	333845751.0	0.0	0.0	0.0	10120222.0	10108461.0	110739.0	0.500291	0.499709		0.618302	0.261544	0.068583	0.05157	0.879847	0.875037	0.0	0.464154	0.247175	0.172282	1.390637			
AR1	5549682452	5518758942		3109396838.0	1345530908.0	657231818.0	406599378.0	0.0	0.0	0.0	7961527.0	7895395.0	79703.0	0.502085	0.497915		0.563423	0.24381	0.119091	0.073676	0.807234	0.802736	0.0	0.485415	0.146268	0.119092	1.185064			
IL25	6420956770	6381115063		3816434661.0	1547647914.0	539715395.0	477317093.0	0.0	0.0	0.0	9537331.0	9602676.0	99839.0	0.498293	0.501707		0.598083	0.242536	0.08458	0.074802	0.840618	0.835402	0.0	0.47722	0.189645	0.136536	1.305304			
AR136	5761453669	5731065874		2996698008.0	1501952529.0	844903556.0	387511781.0	0.0	0.0	0.0	8060428.0	8059121.0	91472.0	0.500041	0.499959		0.522887	0.262072	0.147425	0.067616	0.784959	0.780819	0.0	0.423169	0.194784	0.208418	0.950172			
AR3	5482261712	5454897214		3059775806.0	1303599985.0	717524449.0	373996974.0	0.0	0.0	0.0	7812717.0	7691132.0	92650.0	0.503921	0.496079		0.560923	0.238978	0.131538	0.068562	0.799901	0.795908	0.0	0.442777	0.225322	0.138237	1.539555			
AR27	5636207521	5610258308		3302259972.0	1434536611.0	472663399.0	400798326.0	0.0	0.0	0.0	8442907.0	8343217.0	89555.0	0.502969	0.497031		0.588611	0.255699	0.08425	0.07144	0.84431	0.840423	0.0	0.503945	0.203901	0.089753	1.844692			
AR158	5415337402	5387072662		3076363330.0	1542414128.0	419560011.0	348735193.0	0.0	0.0	0.0	8255567.0	8116016.0	85710.0	0.504262	0.495738		0.571064	0.286318	0.077883	0.064736	0.857382	0.852907	0.0	0.470536	0.208101	0.182354	0.950197			
AR7	7152843689	7113734292		3990920610.0	1661885496.0	959495791.0	501432395.0	0.0	0.0	0.0	10109168.0	10004058.0	114154.0	0.502613	0.497387		0.561016	0.233616	0.134879	0.070488	0.794633	0.790288	0.0	0.446036	0.187654	0.13497	1.418452			
AR9	4720255041	4692029738		2597008362.0	1130540086.0	612063307.0	352417983.0	0.0	0.0	0.0	6661688.0	6596651.0	69281.0	0.502453	0.497547		0.553494	0.240949	0.130447	0.07511	0.794443	0.789692	0.0	0.495142	0.144493	0.128109	1.075472			
AR131	5480312965	5452535390		2931298050.0	1471514287.0	670046883.0	379676170.0	0.0	0.0	0.0	7795263.0	7929844.0	85400.0	0.495721	0.504279		0.537603	0.269877	0.122887	0.069633	0.80748	0.803387	0.0	0.420605	0.19566	0.193395	1.061763			
AR53	5448754647	5422780065		3272998894.0	1425290605.0	415568649.0	308921917.0	0.0	0.0	0.0	8351818.0	8306012.0	84507.0	0.501375	0.498625		0.603565	0.262834	0.076634	0.056967	0.866399	0.862269	0.0	0.493004	0.192328	0.124882	1.489669			
