libID,Animal,Genotype,Time,Batch
AR1,WT1,WT,0hr,A
AR2,WT2,WT,0hr,A
AR3,WT3,WT,0hr,A
AR4,WT4,WT,0hr,A
AR5,WT5,WT,0hr,A
AR6,KO1,KO,0hr,A
AR7,KO2,KO,0hr,A
AR8,KO3,KO,0hr,A
AR9,KO4,KO,0hr,A
AR10,KO5,KO,0hr,A
AR11,WT1,WT,2hr,A
AR12,WT2,WT,2hr,A
AR13,WT3,WT,2hr,A
AR14,WT4,WT,2hr,A
AR15,WT5,WT,2hr,A
AR16,KO1,KO,2hr,A
AR17,KO2,KO,2hr,A
AR18,KO3,KO,2hr,A
AR19,KO4,KO,2hr,A
AR20,KO5,KO,2hr,A
AR21,WT1,WT,6hr,A
AR22,WT2,WT,6hr,A
AR23,WT3,WT,6hr,A
AR24,WT4,WT,6hr,A
AR25,WT5,WT,6hr,A
AR26,KO1,KO,6hr,A
AR27,KO2,KO,6hr,A
AR28,KO3,KO,6hr,A
AR29,KO4,KO,6hr,A
AR30,KO5,KO,6hr,A